request_id,pax_id,origin,destination,origin_lon,origin_lat,dest_lon,dest_lat,geometry_wkt,treq,treq_time,start_x,start_y,end_x,end_y,mode,main_mode,travel_time,distance,origin_cluster,destination_cluster,od_cluster,temporal_cluster,cluster,trip_number,trip_id,ttrav_base,wait_time,traveled_distance,euclidean_distance,longest_distance_mode,modes,start_activity_type,end_activity_type,start_facility_id,end_facility_id,first_pt_boarding_stop,last_pt_egress_stop,base_score,subpopulation,withinArea,walking_distance,fare,detour_factor,commute,index,max_detour,max_cost,max_walking_distance,RegioStaRGem5,age,bikeAvail,bikeSharingAvail,carAvail,carSharingAvail,drtAvail,eBikeAvail,eScooterSharingAvail,econStatus,employed,gkz,hasLicense,hasSeasonTicket,hasSmartphone,hheink_gr2,homeX,homeY,netIncomeHH,occupation,personsBelow14InHH,personsInHH,rideAvail,sex,sim_carAvailability,sim_ptAbo,sim_regionType,vehicles,origin_shape_index,destination_shape_index,network_utility,max_absolute_detour,max_travel_time,max_positive_delay,positive_delay_rel_component,max_negative_delay,negative_delay_rel_component,earliest_departure,latest_departure,earliest_arrival,latest_arrival,earliest_departure_time,latest_departure_time,earliest_arrival_time,latest_arrival_time
36,3655d99,76775035,7527185,11.980910000026078,47.86911004221951,11.575420000012036,48.204740042066824,"LINESTRING (11.980910000026078 47.86911004221951, 11.575420000012036 48.204740042066824)",51240.0,14:14:00,722914.4054654744,5306054.804565031,691346.2458273036,5342263.792087546,,car,3839.0,56651.1,55,347,20,57,20_57,1,3655d99_1,3420.0,0.0,67174.0,48037.0,car,"['walk', 'car', 'walk']",business,leisure,158485business,158486leisure,nan,nan,-3.1898991027780004,default,False,,,,False,36,1.2,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,347,2.51,767.7999999999998,4606.8,1200.0,0.0,1200.0,0.0,50040.0,52440.0,53879.0,56279.0,13:54:00,14:34:00,14:57:59,15:37:59
41,361f914,125724733,78627802,11.574240000012022,48.18802004207482,11.997460000026814,47.878130042215616,"LINESTRING (11.574240000012022 48.18802004207482, 11.997460000026814 47.878130042215616)",53940.0,14:59:00,691320.8584112191,5340402.638020488,724112.9846934704,5307105.10531925,,car,3630.0,57166.9,343,55,21,60,21_60,2,361f914_2,2640.0,0.0,66763.0,46733.0,car,"['walk', 'car', 'walk']",work,home,150162work,150163home,nan,nan,-3.2414044706980003,default,False,,,,True,41,1.3,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,55,2.43,1089.0000000000002,4719.0,1200.0,0.0,1200.0,0.0,52740.0,55140.0,56370.0,58770.0,14:39:00,15:19:00,15:39:30,16:19:30
42,33de07f,136446457,3108560,11.60850000001291,48.126940042103676,12.115820000032803,47.8712600422186,"LINESTRING (11.60850000001291 48.126940042103676, 12.115820000032803 47.8712600422186)",53940.0,14:59:00,694097.3065376511,5333700.317519609,732992.4499627146,5306692.133747279,,car,3241.0,65853.8,326,47,22,60,22_60,3,33de07f_3,2580.0,0.0,67982.0,47352.0,car,"['walk', 'car', 'walk']",work,home,65281work,65282home,nan,nan,-2.993712181990001,default,False,,,,True,42,1.3,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,47,2.42,972.3000000000002,4213.3,1200.0,0.0,1200.0,0.0,52740.0,55140.0,55981.0,58381.0,14:39:00,15:19:00,15:33:01,16:13:01
43,36510a8,117888235,25534756,11.729451045858763,48.14678722667059,12.015010000027694,47.856720042224815,"LINESTRING (11.729451045858763 48.14678722667059, 12.015010000027694 47.856720042224815)",55443.0,15:24:03,703018.1847226581,5336218.407758022,725517.9702848609,5304776.963388345,,car,3314.0,47586.8,327,45,23,62,23_62,2,36510a8_2,1920.0,0.0,50179.0,38662.0,car,"['walk', 'car', 'walk']",educ_higher,leisure,educ_higher36510a8117888235,157710leisure,nan,nan,-2.975522232546,default,False,,,,False,43,1.6,0.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,45,2.14,1988.4000000000003,5302.400000000001,1200.0,0.0,1200.0,0.0,54243.0,56643.0,57557.0,59957.0,15:04:03,15:44:03,15:59:17,16:39:17
45,3d39318,79312909,107425377,10.923480000002918,48.35984004199062,11.532760000011125,48.13984004209763,"LINESTRING (10.923480000002918 48.35984004199062, 11.532760000011125 48.13984004209763)",56280.0,15:38:00,642479.2167152241,5358083.838792866,688414.7042933522,5334945.585132836,,car,3315.0,59701.2,289,223,24,63,24_63,1,3d39318_1,1078.0,0.0,60182.0,51433.0,car,"['walk', 'car', 'walk']",errands,errands,207683errands,207684errands,nan,nan,-3.30356562508,default,False,,,,False,45,1.5,0.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,223,2.35,1657.5,4972.5,1200.0,0.0,1200.0,0.0,55080.0,57480.0,58395.0,60795.0,15:18:00,15:58:00,16:13:15,16:53:15
46,3655d99,7527185,477543,11.575420000012036,48.204740042066824,11.63594000001363,48.10837004211236,"LINESTRING (11.575420000012036 48.204740042066824, 11.63594000001363 48.10837004211236)",56460.0,15:41:00,691346.2458273036,5342263.792087546,696209.6885651574,5331706.157786686,,car,1400.0,14131.2,347,322,25,63,25_63,2,3655d99_2,1740.0,0.0,14877.0,11623.0,car,"['walk', 'car', 'walk']",leisure,leisure,158486leisure,158487leisure,nan,nan,-1.572381207532,default,True,,,,False,46,1.4,0.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,322,0.81,559.9999999999999,1959.9999999999998,1200.0,0.0,1200.0,0.0,55260.0,57660.0,56660.0,59060.0,15:21:00,16:01:00,15:44:20,16:24:20
49,34bd5e9,85576872,5529602,11.673870000014611,48.14014004209751,11.854850000020214,48.239400042050136,"LINESTRING (11.673870000014611 48.14014004209751, 11.854850000020214 48.239400042050136)",57300.0,15:55:00,698910.0607170984,5335334.373033265,711962.024961555,5346849.677248754,,car,1198.0,24654.2,329,354,26,64,26_64,2,34bd5e9_2,1499.0,0.0,25382.0,17405.0,car,"['walk', 'car', 'walk']",leisure,home,95988leisure,95989home,nan,nan,-1.4316057639960005,default,False,,,,False,49,1.5,0.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,354,0.9,599.0,1797.0,1200.0,0.0,1200.0,0.0,56100.0,58500.0,57298.0,59698.0,15:35:00,16:15:00,15:54:58,16:34:58
50,3620251,75531709,93630525,11.684480000014895,48.14870004209345,11.849115371263679,47.89581168592525,"LINESTRING (11.684480000014895 48.14870004209345, 11.849115371263679 47.89581168592525)",57987.0,16:06:27,699666.0563372984,5336313.197517547,712950.0,5308650.0,,car,2526.0,43054.2,329,59,27,65,27_65,2,3620251_2,2115.0,0.0,51628.0,30687.0,car,"['walk', 'car', 'walk']",work,home,150259work,150260home,nan,nan,-2.9820386381880004,default,False,,,,True,50,1.8,0.2,100.0,54,62,True,True,True,True,True,True,True,high,False,09187117,True,False,True,9,723423.4448197067,5304395.050058563,6069.788236642098,parttime,1,3,False,female,always,none,214,"{""car"":""3620251"",""bike"":""3620251_bike""}",329,59,1.75,2020.8000000000002,4546.8,1200.0,0.0,1200.0,0.0,56787.0,59187.0,59313.0,61713.0,15:46:27,16:26:27,16:28:33,17:08:33
51,361f95b,112996982,5161286,11.527500000011017,48.131080042101736,11.654220000014123,48.09886004211678,"LINESTRING (11.527500000011017 48.131080042101736, 11.654220000014123 48.09886004211678)",58225.0,16:10:25,688055.4392782138,5333959.150436147,697606.7503256341,5330696.054738541,,car,1344.0,13775.1,223,322,28,65,28_65,2,361f95b_2,660.0,0.0,14505.0,10093.0,car,"['walk', 'car', 'walk']",leisure,leisure,150165leisure,150166leisure,nan,nan,-1.6008765145280004,default,True,,,,False,51,1.5,0.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,322,0.78,672.0,2016.0,1200.0,0.0,1200.0,0.0,57025.0,59425.0,58369.0,60769.0,15:50:25,16:30:25,16:12:49,16:52:49
52,361f95b,5161286,43927730,11.654220000014123,48.09886004211678,11.958300000025224,47.799680042248966,"LINESTRING (11.654220000014123 48.09886004211678, 11.958300000025224 47.799680042248966)",59184.0,16:26:24,697606.7503256341,5330696.054738541,721519.3062099662,5298274.138928267,,car,2826.0,53174.1,322,52,29,66,29_66,3,361f95b_3,1871.0,0.0,61794.0,40286.0,car,"['walk', 'car', 'walk']",leisure,leisure,150166leisure,150167leisure,nan,nan,-3.372900428480001,default,False,,,,False,52,1.7,0.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,52,2.04,1978.1999999999998,4804.2,1200.0,0.0,1200.0,0.0,57984.0,60384.0,60810.0,63210.0,16:06:24,16:46:24,16:53:30,17:33:30
53,362013e,114569184,18542793,11.401660000008544,48.137560042098684,11.985890000026338,47.85321004222627,"LINESTRING (11.401660000008544 48.137560042098684, 11.985890000026338 47.85321004222627)",59340.0,16:29:00,678670.5887934312,5334379.241397287,723355.1221664443,5304302.258907212,,car,4059.0,70693.6,222,55,30,66,30_66,2,362013e_2,4800.0,0.0,71514.0,53864.0,car,"['walk', 'car', 'walk']",work,home,150250work,150251home,nan,nan,-3.6049421989,default,False,,,,True,53,1.3,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,55,2.83,1217.7000000000003,5276.7,1200.0,0.0,1200.0,0.0,58140.0,60540.0,62199.0,64599.0,16:09:00,16:49:00,17:16:39,17:56:39
54,3d39318,107425377,138075749,11.532760000011125,48.13984004209763,12.02756000002829,47.85706004222465,"LINESTRING (11.532760000011125 48.13984004209763, 12.02756000002829 47.85706004222465)",60130.0,16:42:10,688414.7042933522,5334945.585132836,726455.1222772414,5304851.480350815,,car,3281.0,65491.0,223,45,31,67,31_67,2,3d39318_2,770.0,0.0,74739.0,48504.0,car,"['walk', 'car', 'walk']",errands,errands,207684errands,207685errands,nan,nan,-4.408381392314,default,False,,,,False,54,1.9,0.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,45,2.43,2952.8999999999996,6233.9,1200.0,0.0,1200.0,0.0,58930.0,61330.0,62211.0,64611.0,16:22:10,17:02:10,17:16:51,17:56:51
